### ⚠️ ANCRES PERIMEES (2026-08-02) — les journaux ont ete nettoyes (undo appliques,
### boucles de marche du perso retirees), donc les numeros « coup N/M » ci-dessous ne
### designent plus les memes coups. A REFAIRE, ne pas depouiller en l'etat.

=== niveau 25 — annotation du 2026-08-02 17:03:28 — 1612 coups (533 par macro) ===
[intention] coup 4/1612 | OUVRIR (un passage pour le joueur) | posees 0/19 | joueur (15,9)
[intention] coup 16/1612 | OUVRIR (un passage pour le joueur) | posees 0/19 | joueur (7,11)
[intention] coup 25/1612 | OUVRIR (un passage pour le joueur) | posees 0/19 | joueur (3,8)
[intention] coup 30/1612 | INCONNU (reflexe / je ne sais pas) | posees 0/19 | joueur (2,4)
[intention] coup 66/1612 | OUVRIR (un passage pour le joueur) | posees 0/19 | joueur (8,8)
[intention] coup 137/1612 | OUVRIR (un passage pour le joueur) | posees 1/19 | joueur (4,11)
[intention] coup 173/1612 | OUVRIR (un passage pour le joueur) | posees 1/19 | joueur (8,13)
[intention] coup 225/1612 | APPUI (preparer un appui) | posees 1/19 | joueur (6,7)
[intention] coup 226/1612 | OUVRIR (un passage pour le joueur) | posees 1/19 | joueur (6,8)
[intention] coup 251/1612 | GARER (pour plus tard, je reviendrai) | posees 1/19 | joueur (6,11)
[intention] coup 278/1612 | OUVRIR (un passage pour le joueur) | posees 1/19 | joueur (7,7)
[intention] coup 278/1612 | GARER (pour plus tard, je reviendrai) | posees 1/19 | joueur (7,7)
[intention] coup 413/1612 | GARER (pour plus tard, je reviendrai) | posees 3/19 | joueur (7,8)
[intention] coup 494/1612 | RAPPROCHER (du but) | posees 4/19 | joueur (8,10)
[intention] coup 570/1612 | RAPPROCHER (du but) | posees 5/19 | joueur (9,11)
[intention] coup 643/1612 | RAPPROCHER (du but) | posees 6/19 | joueur (9,10)
[intention] coup 724/1612 | RAPPROCHER (du but) | posees 7/19 | joueur (11,11)
[intention] coup 796/1612 | RAPPROCHER (du but) | posees 8/19 | joueur (10,10)
[intention] coup 869/1612 | RAPPROCHER (du but) | posees 9/19 | joueur (11,10)
[intention] coup 950/1612 | RAPPROCHER (du but) | posees 10/19 | joueur (12,10)
[intention] coup 1014/1612 | RAPPROCHER (du but) | posees 11/19 | joueur (13,9)
[intention] coup 1090/1612 | RAPPROCHER (du but) | posees 12/19 | joueur (15,11)
[intention] coup 1161/1612 | RAPPROCHER (du but) | posees 13/19 | joueur (16,13)
[intention] coup 1227/1612 | RAPPROCHER (du but) | posees 14/19 | joueur (4,11)
[intention] coup 1292/1612 | RAPPROCHER (du but) | posees 15/19 | joueur (2,6)
[intention] coup 1390/1612 | RAPPROCHER (du but) | posees 16/19 | joueur (2,2)
[intention] coup 1484/1612 | RAPPROCHER (du but) | posees 17/19 | joueur (2,8)
[intention] coup 1485/1612 | GARER (pour plus tard, je reviendrai) | posees 17/19 | joueur (2,7)
[intention] coup 1495/1612 | RAPPROCHER (du but) | posees 17/19 | joueur (3,8)
